user_id,age,diet_type,preferred_cuisine,allergies,past_orders,feedback_score
1,32,balanced,Mexican,dairy,19,3.7
2,32,keto,Mexican,gluten,14,4.5
3,21,vegetarian,Italian,dairy,11,3.2
4,36,balanced,Indian,gluten,19,3.5
5,50,vegetarian,Italian,nuts,20,4.0
6,33,balanced,Chinese,nuts,2,3.1
7,20,vegan,Mexican,dairy,2,3.6
8,34,vegan,Italian,dairy,12,4.6
9,18,keto,Chinese,none,8,3.7
10,35,vegetarian,Chinese,dairy,1,3.8
11,36,vegetarian,Indian,gluten,3,4.2
12,50,vegan,Italian,nuts,10,3.1
13,48,balanced,Italian,none,18,4.7
14,48,vegetarian,Italian,dairy,11,3.7
15,18,keto,Italian,gluten,7,4.5
16,24,keto,Chinese,dairy,16,4.1
17,28,vegan,Italian,gluten,18,4.2
18,28,vegetarian,Indian,none,13,3.2
19,29,balanced,Mexican,none,13,3.9
20,25,keto,Mexican,nuts,16,4.0
21,36,vegetarian,Mexican,gluten,3,3.5
22,23,balanced,Chinese,none,12,4.0
23,42,vegan,Chinese,nuts,6,4.1
24,20,balanced,Mexican,gluten,4,3.4
25,28,keto,Mexican,gluten,12,4.4
26,32,vegan,Mexican,dairy,4,4.8
27,43,keto,Mexican,none,18,4.9
28,23,balanced,Chinese,nuts,2,3.3
29,30,vegan,Chinese,none,13,4.6
30,31,balanced,Indian,nuts,17,3.9
31,42,vegan,Mexican,none,8,3.8
32,32,vegan,Indian,none,10,4.3
33,32,vegan,Mexican,nuts,20,3.9
34,31,vegetarian,Italian,dairy,8,3.4
35,46,vegan,Italian,dairy,8,4.2
36,41,vegan,Mexican,gluten,1,4.0
37,20,keto,Italian,gluten,10,3.7
38,37,vegetarian,Indian,none,17,3.7
39,32,balanced,Chinese,gluten,16,3.7
40,41,balanced,Chinese,none,5,4.5
41,46,balanced,Chinese,dairy,15,4.9
42,48,balanced,Italian,nuts,18,4.4
43,18,balanced,Indian,nuts,19,3.9
44,27,keto,Indian,nuts,3,4.4
45,25,keto,Mexican,gluten,3,4.9
46,26,vegan,Mexican,dairy,5,3.7
47,50,keto,Chinese,dairy,16,3.8
48,32,keto,Italian,none,3,4.1
49,23,balanced,Mexican,none,19,4.8
50,26,balanced,Indian,nuts,13,3.9
51,46,vegetarian,Mexican,nuts,15,3.7
52,27,vegetarian,Indian,gluten,15,4.5
53,45,vegetarian,Italian,gluten,3,4.3
54,30,vegan,Indian,gluten,11,4.5
55,29,balanced,Italian,nuts,9,4.3
56,45,keto,Indian,nuts,5,3.4
57,34,balanced,Italian,gluten,15,3.9
58,32,balanced,Mexican,nuts,6,3.7
59,40,balanced,Mexican,dairy,19,3.8
60,27,vegetarian,Indian,gluten,13,4.4
61,24,keto,Mexican,none,8,3.7
62,28,vegan,Chinese,nuts,10,4.1
63,40,vegan,Mexican,none,9,3.9
64,36,balanced,Mexican,gluten,7,4.5
65,37,balanced,Italian,nuts,7,4.1
66,49,vegetarian,Chinese,dairy,1,3.5
67,19,balanced,Italian,none,4,4.9
68,20,keto,Mexican,dairy,16,4.8
69,23,vegan,Mexican,gluten,9,3.8
70,47,balanced,Mexican,none,20,4.1
71,37,vegan,Italian,none,3,3.8
72,28,balanced,Indian,gluten,6,4.6
73,44,keto,Indian,nuts,18,4.0
74,20,keto,Mexican,nuts,9,4.3
75,26,keto,Chinese,dairy,15,4.4
76,30,keto,Mexican,nuts,10,3.7
77,50,keto,Mexican,dairy,14,4.3
78,45,balanced,Italian,nuts,5,5.0
79,30,vegan,Italian,none,18,3.2
80,26,vegan,Mexican,gluten,3,4.2
81,24,balanced,Chinese,gluten,13,4.0
82,38,keto,Mexican,none,16,3.4
83,37,balanced,Italian,nuts,6,4.3
84,45,keto,Mexican,dairy,16,3.3
85,40,vegetarian,Chinese,dairy,17,3.6
86,32,vegetarian,Indian,none,10,3.9
87,32,vegan,Chinese,nuts,8,4.0
88,21,balanced,Italian,nuts,13,4.2
89,40,vegetarian,Mexican,nuts,19,3.1
90,44,vegetarian,Mexican,dairy,19,3.4
91,44,vegan,Italian,gluten,12,4.9
92,25,balanced,Chinese,dairy,10,3.1
93,35,vegetarian,Italian,none,9,4.8
94,46,keto,Chinese,none,7,3.4
95,48,vegetarian,Mexican,dairy,20,3.0
96,29,vegan,Chinese,none,11,4.3
97,39,balanced,Indian,nuts,8,3.2
98,38,keto,Italian,gluten,11,4.9
99,24,balanced,Italian,dairy,19,4.3
100,36,keto,Indian,none,12,3.3
